id,strava_activity_id,activity_name,distance,elapsed_time,moving_time,date,elevation_gain,average_heartrate,max_heartrate,final_time,final_distance,event_name,is_hidden,has_polyline,polyline_length,source,is_parkrun,year,month,day_of_week,hour,day_name,pace_min_per_km,distance_km,time_minutes,distance_category
4314,16443259336,Woodstock Runners - Magic Mile!,1628.3,349,349,2025-11-13 19:05:17+00:00,6.8,147.0,154.0,349,1628.3,Magic Mile,1,1,230.0,oauth,False,2025,11,3,19,Thursday,3.5722327990337575,1.6282999999999999,5.816666666666666,<5km
490,16255450757,BBB,10000.2,2577,2577,2025-10-26 07:16:09+00:00,39.0,188.2,200.0,2577,10000.2,BBB,0,1,697.0,oauth,False,2025,10,6,7,Sunday,4.294914101717965,10.000200000000001,42.95,10-15km
2503,16245399407,Bondi to Manly leg 1,18381.3,6181,6093,2025-10-25 06:33:31+00:00,413.0,168.2,189.0,6093,18381.3,Bondi to Manly Leg 1,0,1,1099.0,oauth,False,2025,10,5,6,Saturday,5.524636451175923,18.3813,101.55,15-21km
650,16249620271,Bondi 2 Manly Ultra,78675.1,46030,40365,2025-10-25 05:20:21+00:00,1569.0,126.3,163.0,40365,78675.1,Bondi to Manly Ultra,0,1,1329.0,oauth,False,2025,10,5,5,Saturday,8.550990084537547,78.6751,672.75,>42km
747,16247500405,Bondi to Manly (official 10.03.40),78288.7,36419,34856,2025-10-25 05:20:21+00:00,1606.0,145.6,160.0,34856,78288.7,Bondi to Manly Ultra,0,1,1357.0,oauth,False,2025,10,5,5,Saturday,7.420398260966568,78.28869999999999,580.9333333333333,>42km
4379,16247558055,Bondi to Manly Ultra 2025,81960.1,40549,36114,2025-10-25 05:15:51+00:00,1594.0,,,36114,81960.1,Bondi to Manly Ultra,0,1,1352.0,oauth,False,2025,10,5,5,Saturday,7.343817296464986,81.96010000000001,601.9,>42km
4315,16099806872,Reddall Reserve Park Run,5037.5,1183,1183,2025-10-11 08:01:59+00:00,5.0,164.9,175.0,1183,5037.5,parkrun,1,1,432.0,oauth,True,2025,10,5,8,Saturday,3.913978494623656,5.0375,19.716666666666665,5-10km
748,16099530191,Singleton parkrun,4963.9,2024,2018,2025-10-11 08:01:02+00:00,19.0,120.7,139.0,2018,4963.9,parkrun,1,1,433.0,oauth,True,2025,10,5,8,Saturday,6.775586400478119,4.9639,33.63333333333333,<5km
749,16025192084,Reboot in Bermagui,15698.3,4806,4800,2025-10-04 08:00:58+00:00,118.0,169.7,179.0,4800,15698.3,ReBoot in Bermagui,0,1,1091.0,oauth,False,2025,10,5,8,Saturday,5.096093207544766,15.6983,80.0,15-21km
2504,15958167139,10 km  3 bridges race,10324.1,2770,2770,2025-09-28 08:00:10+00:00,81.0,175.8,190.0,2770,10324.1,Three Bridges 10k,0,1,1059.0,oauth,False,2025,9,6,8,Sunday,4.471737649448055,10.3241,46.166666666666664,10-15km
