id,strava_activity_id,activity_name,is_parkrun,distance_km,pace_min_per_km,elevation_gain,day_of_week,hour,month,contains_parkrun,contains_marathon,contains_half,contains_ultra,contains_fun_run,name_length,is_5k,is_10k,is_half_marathon,is_marathon,is_ultra,coord_count,day_of_week,day_0,day_1,day_2,day_3,day_4,day_5,day_6,hour_6,hour_7,hour_8,hour_9,hour_10,hour_other
4314,16443259336,Woodstock Runners - Magic Mile!,False,1.6283,3.5722327990337575,6.8,3,19,11,0,0,0,0,0,31,0,0,0,0,0,0,3,False,False,False,True,False,False,False,False,False,False,False,False,True
490,16255450757,BBB,False,10.0002,4.294914101717965,39.0,6,7,10,0,0,0,0,0,3,0,1,0,0,0,0,6,False,False,False,False,False,False,True,False,True,False,False,False,False
2503,16245399407,Bondi to Manly leg 1,False,18.3813,5.524636451175923,413.0,5,6,10,0,0,0,0,0,20,0,0,0,0,0,0,5,False,False,False,False,False,True,False,True,False,False,False,False,False
650,16249620271,Bondi 2 Manly Ultra,False,78.6751,8.550990084537547,1569.0,5,5,10,0,0,0,1,0,19,0,0,0,0,1,0,5,False,False,False,False,False,True,False,False,False,False,False,False,True
747,16247500405,Bondi to Manly (official 10.03.40),False,78.28869999999999,7.420398260966568,1606.0,5,5,10,0,0,0,0,0,34,0,0,0,0,1,0,5,False,False,False,False,False,True,False,False,False,False,False,False,True
4379,16247558055,Bondi to Manly Ultra 2025,False,81.96010000000001,7.343817296464986,1594.0,5,5,10,0,0,0,1,0,25,0,0,0,0,1,0,5,False,False,False,False,False,True,False,False,False,False,False,False,True
4315,16099806872,Reddall Reserve Park Run,True,5.0375,3.913978494623656,5.0,5,8,10,1,0,0,0,0,24,1,0,0,0,0,0,5,False,False,False,False,False,True,False,False,False,True,False,False,False
748,16099530191,Singleton parkrun,True,4.9639,6.775586400478119,19.0,5,8,10,1,0,0,0,0,17,1,0,0,0,0,0,5,False,False,False,False,False,True,False,False,False,True,False,False,False
749,16025192084,Reboot in Bermagui,False,15.6983,5.096093207544766,118.0,5,8,10,0,0,0,0,0,18,0,0,0,0,0,0,5,False,False,False,False,False,True,False,False,False,True,False,False,False
2504,15958167139,10 km  3 bridges race,False,10.3241,4.471737649448055,81.0,6,8,9,0,0,0,0,0,21,0,1,0,0,0,0,6,False,False,False,False,False,False,True,False,False,True,False,False,False
4316,15948393670,The 500th Cooks River Park Run Anniversary,True,5.019699999999999,3.897975310609532,25.0,5,8,9,1,0,0,0,0,42,1,0,0,0,0,0,5,False,False,False,False,False,True,False,False,False,True,False,False,False
750,15947123155,Cookies 500!,True,5.005,4.319014319014319,28.0,5,8,9,0,0,0,0,0,12,1,0,0,0,0,0,5,False,False,False,False,False,True,False,False,False,True,False,False,False
751,15790615343,Casula parkrun,True,5.0215,4.264993859736467,28.0,5,8,9,1,0,0,0,0,14,1,0,0,0,0,0,5,False,False,False,False,False,True,False,False,False,True,False,False,False
4380,15712118085,Coastal Classic RNP,False,30.9175,8.006253200722352,961.0,5,9,9,0,0,0,0,0,19,0,0,0,0,0,0,5,False,False,False,False,False,True,False,False,False,False,True,False,False
4381,15643057320,Sydney Marathon 2025,False,42.803,5.47041095250333,270.0,6,7,8,0,1,0,0,0,20,0,0,0,1,0,0,6,False,False,False,False,False,False,True,False,True,False,False,False,False
491,15642882996,Sydney Marathon,False,42.087300000000006,5.05457307390432,279.0,6,7,8,0,1,0,0,0,15,0,0,0,1,0,0,6,False,False,False,False,False,False,True,False,True,False,False,False,False
752,15642929390,Sydney Marathon 2025,False,42.4541,5.220540144139985,281.0,6,7,8,0,1,0,0,0,20,0,0,0,1,0,0,6,False,False,False,False,False,False,True,False,True,False,False,False,False
2505,15643380175,TCS Sydney Marathon,False,42.2897,5.096985790866334,360.0,6,7,8,0,1,0,0,0,19,0,0,0,1,0,0,6,False,False,False,False,False,False,True,False,True,False,False,False,False
2235,15642694148,Sub315 I did it! - 2025 Sydney Marathon 3:14:36,False,42.7798,4.548875871322446,277.0,6,6,8,0,1,0,0,0,47,0,0,0,1,0,0,6,False,False,False,False,False,False,True,True,False,False,False,False,False
492,15404058083,City2Surf,False,14.0371,4.535599708391809,206.0,6,7,8,0,0,0,0,0,9,0,0,0,0,0,0,6,False,False,False,False,False,False,True,False,True,False,False,False,False
651,15404084514,City2Surf 2025,False,14.0087,4.91837215444688,196.0,6,7,8,0,0,0,0,0,14,0,0,0,0,0,0,6,False,False,False,False,False,False,True,False,True,False,False,False,False
4382,15403983903,City2Surf 2025,False,14.0105,4.777369353936928,199.0,6,7,8,0,0,0,0,0,14,0,0,0,0,0,0,6,False,False,False,False,False,False,True,False,True,False,False,False,False
