id,strava_activity_id,activity_name,distance,elapsed_time,moving_time,date,elevation_gain,average_heartrate,max_heartrate,final_time,final_distance,event_name,has_polyline,polyline_length,source,year,month,day_of_week,hour,pace_min_per_km,distance_km,time_minutes,is_parkrun,distance_category
490,16255450757,BBB,10000.2,2577,2577,2025-10-26 07:16:09+00:00,39.0,188.2,200.0,2577,10000.2,BBB,1,697.0,oauth,2025,10,6,7,4.294914101717965,10.000200000000001,42.95,False,10-15km
2503,16245399407,Bondi to Manly leg 1,18381.3,6181,6093,2025-10-25 06:33:31+00:00,413.0,168.2,189.0,6093,18381.3,Bondi to Manly Leg 1,1,1099.0,oauth,2025,10,5,6,5.524636451175923,18.3813,101.55,False,15-21km
650,16249620271,Bondi 2 Manly Ultra,78675.1,46030,40365,2025-10-25 05:20:21+00:00,1569.0,126.3,163.0,40365,78675.1,Bondi to Manly Ultra,1,1329.0,oauth,2025,10,5,5,8.550990084537547,78.6751,672.75,False,>42km
747,16247500405,Bondi to Manly (official 10.03.40),78288.7,36419,34856,2025-10-25 05:20:21+00:00,1606.0,145.6,160.0,34856,78288.7,Bondi to Manly Ultra,1,1357.0,oauth,2025,10,5,5,7.420398260966568,78.28869999999999,580.9333333333333,False,>42km
4379,16247558055,Bondi to Manly Ultra 2025,81960.1,40549,36114,2025-10-25 05:15:51+00:00,1594.0,,,36114,81960.1,Bondi to Manly Ultra,1,1352.0,oauth,2025,10,5,5,7.343817296464986,81.96010000000001,601.9,False,>42km
749,16025192084,Reboot in Bermagui,15698.3,4806,4800,2025-10-04 08:00:58+00:00,118.0,169.7,179.0,4800,15698.3,ReBoot in Bermagui,1,1091.0,oauth,2025,10,5,8,5.096093207544766,15.6983,80.0,False,15-21km
2504,15958167139,10 km  3 bridges race,10324.1,2770,2770,2025-09-28 08:00:10+00:00,81.0,175.8,190.0,2770,10324.1,Three Bridges 10k,1,1059.0,oauth,2025,9,6,8,4.471737649448055,10.3241,46.166666666666664,False,10-15km
4380,15712118085,Coastal Classic RNP,30917.5,15417,14852,2025-09-06 09:02:12+00:00,961.0,149.0,165.0,14852,30917.5,Coastal Classic,1,1228.0,oauth,2025,9,5,9,8.006253200722352,30.9175,247.53333333333333,False,21-42km
4381,15643057320,Sydney Marathon 2025,42803.0,14049,14049,2025-08-31 07:17:37+00:00,270.0,152.9,170.0,14049,42803.0,Sydney Marathon,1,1200.0,oauth,2025,8,6,7,5.47041095250333,42.803,234.15,False,>42km
491,15642882996,Sydney Marathon,42087.3,12849,12764,2025-08-31 07:05:42+00:00,279.0,170.6,186.0,12764,42087.3,Sydney Marathon,1,1189.0,oauth,2025,8,6,7,5.05457307390432,42.087300000000006,212.73333333333332,False,>42km
752,15642929390,Sydney Marathon 2025,42454.1,13333,13298,2025-08-31 07:03:27+00:00,281.0,164.1,185.0,13298,42454.1,Sydney Marathon,1,1211.0,oauth,2025,8,6,7,5.220540144139985,42.4541,221.63333333333333,False,>42km
2505,15643380175,TCS Sydney Marathon,42289.7,13012,12933,2025-08-31 07:03:27+00:00,360.0,174.8,192.0,12933,42289.7,Sydney Marathon,1,1209.0,oauth,2025,8,6,7,5.096985790866334,42.289699999999996,215.55,False,>42km
2235,15642694148,Sub315 I did it! - 2025 Sydney Marathon 3:14:36,42779.8,11676,11676,2025-08-31 06:35:04+00:00,277.0,159.0,170.0,11676,42779.8,Sydney Marathon,1,1215.0,oauth,2025,8,6,6,4.548875871322446,42.7798,194.6,False,>42km
492,15404058083,City2Surf,14037.1,3820,3820,2025-08-10 07:47:51+00:00,206.0,178.7,190.0,3820,14037.1,City2Surf,1,1065.0,oauth,2025,8,6,7,4.535599708391809,14.0371,63.666666666666664,False,10-15km
651,15404084514,City2Surf 2025,14008.7,4134,4134,2025-08-10 07:36:51+00:00,196.0,152.0,172.0,4134,14008.7,City2Surf,1,1085.0,oauth,2025,8,6,7,4.91837215444688,14.008700000000001,68.9,False,10-15km
4382,15403983903,City2Surf 2025,14010.5,4016,4016,2025-08-10 07:36:05+00:00,199.0,160.8,173.0,4016,14010.5,City2Surf,1,1087.0,oauth,2025,8,6,7,4.777369353936928,14.0105,66.93333333333334,False,10-15km
753,15404299656,City2surf 2025,13911.9,3773,3773,2025-08-10 07:36:04+00:00,210.0,165.4,177.0,3773,13911.9,City2Surf,1,1073.0,oauth,2025,8,6,7,4.520111079962718,13.9119,62.88333333333333,False,10-15km
3106,15314676866,Richmond Harriers Arthur Thornton 8K Handicap,8105.6,1976,1976,2025-08-02 14:18:47+00:00,11.0,147.1,162.0,1976,8105.6,,1,743.0,oauth,2025,8,5,14,4.06303460981708,8.1056,32.93333333333333,False,5-10km
2506,15246917111,Harbour 10km,10102.2,2626,2626,2025-07-27 08:15:56+00:00,48.0,167.9,185.0,2626,10102.2,Sydney Harbour 10,1,1033.0,oauth,2025,7,6,8,4.3323896444998775,10.1022,43.766666666666666,False,10-15km
760,14999436977,Bravehearts half,20927.0,6731,6728,2025-07-04 07:06:46+00:00,102.0,155.7,176.0,6728,20927.0,Bravehearts Half,1,1152.0,oauth,2025,7,4,7,5.358309042544719,20.927,112.13333333333334,False,15-21km
2507,14875272918,Cooks river 10km fun run,10071.7,2587,2584,2025-06-22 09:01:42+00:00,42.0,177.1,194.0,2584,10071.7,Cooks River Fun Run,1,1001.0,oauth,2025,6,6,9,4.27600769151848,10.0717,43.06666666666667,False,10-15km
762,14875292914,Cooks river fun run 2025,10064.9,2635,2630,2025-06-22 09:01:33+00:00,46.0,169.1,181.0,2630,10064.9,Cooks River Fun Run,1,992.0,oauth,2025,6,6,9,4.355068935939089,10.0649,43.833333333333336,False,10-15km
3107,14875093328,Cooks River 10K,9832.9,2400,2400,2025-06-22 09:01:31+00:00,30.0,167.9,184.0,2400,9832.9,Cooks River Fun Run,1,972.0,oauth,2025,6,6,9,4.067975876903049,9.8329,40.0,False,5-10km
4383,14875345602,Kiama Coastal Classic,21145.5,8509,8504,2025-06-22 08:01:32+00:00,545.0,153.4,166.0,8504,21145.5,Kiama Coastal Classic,1,1159.0,oauth,2025,6,6,8,6.702765757883868,21.1455,141.73333333333332,False,21-42km
